Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"75311057400111","16172.09","4.66","EURd","TRADE","PROCESSED","2024-10-12 20:50:31","0015421d-0055-311e-0000-4e28000a8aa4_0015421d-0055-311e-0000-000081309791","ETH/USD","Ethereum / USD","",""
"75228612009516","16167.43","27.25","EURd","TRADE","PROCESSED","2024-10-11 23:00:05","0015421d-0055-311e-0000-4e27000f5dab_0015421d-0055-311e-0000-00008130874f","ETH/USD","Ethereum / USD","",""
"75228609912363","16140.18","59.51","EURd","TRADE","PROCESSED","2024-10-11 23:00:03","000940dd-0055-311e-0000-4e27000c75a8_000940dd-0055-311e-0000-0000822ad8a4","BTC/USD","Bitcoin / USD","",""
"75024240385766","16080.67","12.89","EURd","TRADE","PROCESSED","2024-10-09 16:51:41","00001344-0055-311e-0000-4e25000e876d_00001344-0055-311e-0000-0000804d0c79","AMD","Advanced Micro Devices Inc (Extended Hours)","",""
"75024238288608","16067.78","25.09","EURd","TRADE","PROCESSED","2024-10-09 16:51:39","00001344-0055-311e-0000-4e25000e8746_00001344-0055-311e-0000-0000804d1161","AMD","Advanced Micro Devices Inc (Extended Hours)","",""
"75024236191448","16042.69","3.04","EURd","TRADE","PROCESSED","2024-10-09 16:51:37","00353194-0055-311e-0000-4e25000e86fa_00353194-0055-311e-0000-00008050045a","MSFT","Microsoft Corp (Extended Hours)","",""
"75024234094291","16039.65","13.98","EURd","TRADE","PROCESSED","2024-10-09 16:51:35","0004d68e-0055-311e-0000-4e25000e869d_0004d68e-0055-311e-0000-000080550b2f","AMZN","Amazon.com Inc (Extended Hours)","",""
"74843390386094","16025.67","9.09","EURd","TRADE","PROCESSED","2024-10-07 16:57:09","0015421d-0055-311e-0000-4e23000f6d28_0015421d-0055-311e-0000-000081306265","ETH/USD","Ethereum / USD","",""
"74843388288936","16016.58","23.99","EURd","TRADE","PROCESSED","2024-10-07 16:57:07","000144cd-0055-311e-0000-4e2300199f99_000144cd-0055-311e-0000-0000809001d7","TSM","Taiwan Semiconductor Manufacturing Co Ltd - ADR (Extended Hours)","",""
"74843387240349","15992.59","53.71","EURd","TRADE","PROCESSED","2024-10-07 16:57:06","00396101-0055-311e-0000-4e23000ded2a_00396101-0055-311e-0000-0000805927b6","NVDA","NVIDIA Corp (Extended Hours)","",""
"74815683898468","15938.88","44.51","EURd","TRADE","PROCESSED","2024-10-07 09:36:46","000940dd-0055-311e-0000-4e2300056164_000940dd-0055-311e-0000-000082296d02","BTC/USD","Bitcoin / USD","",""
"74815683898467","15894.37","46.44","EURd","TRADE","PROCESSED","2024-10-07 09:36:46","000940dd-0055-311e-0000-4e2300056163_000940dd-0055-311e-0000-000082294e29","BTC/USD","Bitcoin / USD","",""
"74465727882611","15847.93","39.03","EURd","TRADE","PROCESSED","2024-10-03 12:54:22","00018509-0055-311e-0000-4e1f000bfd5b_00018509-0055-311e-0000-000081ad987e","Oil - Crude","Crude Oil","",""
"74410883219786","15808.9","-4.98","EURd","TRADE","PROCESSED","2024-10-02 22:22:38","00396101-0055-311e-0000-4e1e00163924_00396101-0055-311e-0000-000080563dd6","NVDA","NVIDIA Corp (Extended Hours)","",""
"74410883219785","15813.88","32.04","EURd","TRADE","PROCESSED","2024-10-02 22:22:38","00396101-0055-311e-0000-4e1e00163923_00396101-0055-311e-0000-000080590cd0","NVDA","NVIDIA Corp (Extended Hours)","",""
"74314386962274","15781.84","37.22","EURd","TRADE","PROCESSED","2024-10-01 20:48:52","00081081-0055-311e-0000-4e1d001d9402_00081081-0055-311e-0000-0000804d04b0","BABA","Alibaba Group Holding Limited (Extended Hours)","",""
"74314363893504","15744.62","12.47","EURd","TRADE","PROCESSED","2024-10-01 20:48:30","00018509-0055-311e-0000-4e1d0028479b_00018509-0055-311e-0000-000081a96dc0","Oil - Crude","Crude Oil","",""
"74314363893502","15732.15","47.48","EURd","TRADE","PROCESSED","2024-10-01 20:48:30","00018509-0055-311e-0000-4e1d0028479a_00018509-0055-311e-0000-000081a9a116","Oil - Crude","Crude Oil","",""
"74314363893501","15684.67","55.41","EURd","TRADE","PROCESSED","2024-10-01 20:48:30","00018509-0055-311e-0000-4e1d00284799_00018509-0055-311e-0000-000081a9c3b8","Oil - Crude","Crude Oil","",""
"73836497435260","15629.26","6.85","EURd","TRADE","PROCESSED","2024-09-26 14:13:01","0015421d-0055-311e-0000-4e18000fb1d5_0015421d-0055-311e-0000-0000812cff1d","ETH/USD","Ethereum / USD","",""
"73836497435259","15622.41","6.81","EURd","TRADE","PROCESSED","2024-09-26 14:13:01","0015421d-0055-311e-0000-4e18000fb1d4_0015421d-0055-311e-0000-0000812cff1b","ETH/USD","Ethereum / USD","",""
"73771832785107","15615.6","0.31","EURd","SWAP","PROCESSED","2024-09-25 21:05:12","","Oil - Crude","Crude Oil","",""
"73743501348599","15615.29","8.84","EURd","TRADE","PROCESSED","2024-09-25 13:34:53","00001344-0055-311e-0000-4e17000265d6_00001344-0055-311e-0000-000080474949","AMD","Advanced Micro Devices Inc (Extended Hours)","",""
"73743290580551","15606.45","12.54","EURd","TRADE","PROCESSED","2024-09-25 13:31:32","00513301-0055-311e-0000-4e1700076a6d_00513301-0055-311e-0000-000080cbeaaa","TSLA","Tesla Inc (Extended Hours)","",""
"73738635912999","15593.91","5.49","EURd","TRADE","PROCESSED","2024-09-25 12:17:33","0004d68e-0055-311e-0000-4e1700018648_0004d68e-0055-311e-0000-000080462057","AMZN","Amazon.com Inc (Extended Hours)","",""
"73738635912998","15588.42","5.58","EURd","TRADE","PROCESSED","2024-09-25 12:17:33","0004d68e-0055-311e-0000-4e1700018647_0004d68e-0055-311e-0000-000080462055","AMZN","Amazon.com Inc (Extended Hours)","",""
"73738633815835","15582.84","32.6","EURd","TRADE","PROCESSED","2024-09-25 12:17:31","00396101-0055-311e-0000-4e1700018637_00396101-0055-311e-0000-000080532a1f","NVDA","NVIDIA Corp (Extended Hours)","",""
"73419192526072","15550.24","11.61","EURd","TRADE","PROCESSED","2024-09-21 23:40:08","0015421d-0055-311e-0000-4e13000fd964_0015421d-0055-311e-0000-0000812b2f8e","ETH/USD","Ethereum / USD","",""
"73207470270256","15538.63","32.08","EURd","TRADE","PROCESSED","2024-09-19 15:34:54","00001344-0055-311e-0000-4e11000da4f8_00001344-0055-311e-0000-0000804a3b28","AMD","Advanced Micro Devices Inc (Extended Hours)","",""
"73207425181062","15506.55","16.09","EURd","TRADE","PROCESSED","2024-09-19 15:34:11","0015421d-0055-311e-0000-4e11001f465a_0015421d-0055-311e-0000-0000812bba7c","ETH/USD","Ethereum / USD","",""
"73207420986699","15490.46","55.86","EURd","TRADE","PROCESSED","2024-09-19 15:34:07","0015421d-0055-311e-0000-4e11001f4593_0015421d-0055-311e-0000-0000812c6b34","ETH/USD","Ethereum / USD","",""
"72499049139220","15434.6","34.31","EURd","TRADE","PROCESSED","2024-09-11 19:54:51","000144cd-0055-311e-0000-4e090033f54c_000144cd-0055-311e-0000-0000808a0193","TSM","Taiwan Semiconductor Manufacturing Co Ltd - ADR (Extended Hours)","",""
"72474859574867","15400.29","31.59","EURd","TRADE","PROCESSED","2024-09-11 13:30:22","00396101-0055-311e-0000-4e0900039208_00396101-0055-311e-0000-00008052bb09","NVDA","NVIDIA Corp (Extended Hours)","",""
"71965241148193","15368.7","-18.45","EURd","TRADE","PROCESSED","2024-09-05 22:30:12","00018387-0055-311e-0000-4e0300306be6_00018387-0055-311e-0000-0000812578a3","Natural Gas","Natural Gas","",""
"71965241148192","15387.15","7.65","EURd","TRADE","PROCESSED","2024-09-05 22:30:12","00018387-0055-311e-0000-4e0300306be5_00018387-0055-311e-0000-000081257bbd","Natural Gas","Natural Gas","",""
"71965241148191","15379.5","17.1","EURd","TRADE","PROCESSED","2024-09-05 22:30:12","00018387-0055-311e-0000-4e0300306be4_00018387-0055-311e-0000-000081280ece","Natural Gas","Natural Gas","",""
"71959951136082","15362.4","-5.76","EURd","SWAP","PROCESSED","2024-09-05 21:06:07","","Natural Gas","Natural Gas","",""
"71959950086536","15368.16","-5.76","EURd","SWAP","PROCESSED","2024-09-05 21:06:06","","Natural Gas","Natural Gas","",""
"71959949034510","15373.92","-5.76","EURd","SWAP","PROCESSED","2024-09-05 21:06:05","","Natural Gas","Natural Gas","",""
"71918056370541","15379.68","20.37","EURd","TRADE","PROCESSED","2024-09-05 10:00:13","00513301-0055-311e-0000-4e030007d93c_00513301-0055-311e-0000-000080c6a3ab","TSLA","Tesla Inc (Extended Hours)","",""
"71918056370540","15359.31","66.12","EURd","TRADE","PROCESSED","2024-09-05 10:00:13","00513301-0055-311e-0000-4e030007d93b_00513301-0055-311e-0000-000080c93a73","TSLA","Tesla Inc (Extended Hours)","",""
"71869358328957","15293.19","-5.58","EURd","SWAP","PROCESSED","2024-09-04 21:06:11","","Natural Gas","Natural Gas","",""
"71869358328913","15298.77","-5.58","EURd","SWAP","PROCESSED","2024-09-04 21:06:11","","Natural Gas","Natural Gas","",""
"71869358328835","15304.35","-5.58","EURd","SWAP","PROCESSED","2024-09-04 21:06:11","","Natural Gas","Natural Gas","",""
"71778755116560","15309.93","-5.6","EURd","SWAP","PROCESSED","2024-09-03 21:06:05","","Natural Gas","Natural Gas","",""
"71778755116481","15315.53","-5.6","EURd","SWAP","PROCESSED","2024-09-03 21:06:05","","Natural Gas","Natural Gas","",""
"71778755116408","15321.13","-5.6","EURd","SWAP","PROCESSED","2024-09-03 21:06:05","","Natural Gas","Natural Gas","",""
"71688137159448","15326.73","-5.62","EURd","SWAP","PROCESSED","2024-09-02 21:05:45","","Natural Gas","Natural Gas","",""
